2025-07-20 08:14:32 | INFO | No old log files to clean up
2025-07-20 08:14:32 | INFO | Engine created successfully
2025-07-20 08:19:53 | INFO | No old log files to clean up
2025-07-20 08:19:53 | INFO | Engine created successfully
2025-07-20 08:23:24 | INFO | No old log files to clean up
2025-07-20 08:23:24 | INFO | Engine created successfully
2025-07-20 08:26:22 | INFO | No old log files to clean up
2025-07-20 08:26:22 | INFO | Engine created successfully
2025-07-20 08:27:36 | INFO | No old log files to clean up
2025-07-20 08:27:36 | INFO | Engine created successfully
2025-07-20 08:43:41 | INFO | No old log files to clean up
2025-07-20 08:43:41 | INFO | Engine created successfully
2025-07-20 08:43:42 | INFO | Starting application...
2025-07-20 08:44:13 | INFO | No old log files to clean up
2025-07-20 08:44:13 | INFO | Engine created successfully
2025-07-20 08:44:13 | INFO | Starting application...
2025-07-20 08:48:35 | INFO | No old log files to clean up
2025-07-20 08:48:35 | INFO | Engine created successfully
2025-07-20 08:48:35 | INFO | Starting application...
2025-07-20 08:49:55 | INFO | No old log files to clean up
2025-07-20 08:49:55 | INFO | Engine created successfully
2025-07-20 08:49:55 | INFO | Starting application...
2025-07-20 08:49:57 | INFO | No old log files to clean up
2025-07-20 08:49:57 | INFO | Engine created successfully
2025-07-20 08:49:57 | INFO | Starting application...
2025-07-20 08:50:04 | INFO | Starting application...
2025-07-20 08:50:04 | INFO | No old log files to clean up
2025-07-20 08:50:04 | INFO | Log cleanup process completed
2025-07-20 08:58:34 | INFO | Application shutting down...
2025-07-20 08:58:34 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 08:58:36 | INFO | No old log files to clean up
2025-07-20 08:58:36 | INFO | Engine created successfully
2025-07-20 08:58:36 | INFO | Starting application...
2025-07-20 08:58:38 | INFO | Starting application...
2025-07-20 08:58:38 | INFO | No old log files to clean up
2025-07-20 08:58:38 | INFO | Log cleanup process completed
2025-07-20 09:00:05 | INFO | Application shutting down...
2025-07-20 09:00:05 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:00:07 | INFO | No old log files to clean up
2025-07-20 09:00:07 | INFO | Engine created successfully
2025-07-20 09:00:07 | INFO | Starting application...
2025-07-20 09:00:10 | INFO | Starting application...
2025-07-20 09:00:10 | INFO | No old log files to clean up
2025-07-20 09:00:10 | INFO | Log cleanup process completed
2025-07-20 09:02:42 | INFO | Application shutting down...
2025-07-20 09:02:42 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:02:44 | INFO | No old log files to clean up
2025-07-20 09:02:44 | INFO | Engine created successfully
2025-07-20 09:02:44 | INFO | Starting application...
2025-07-20 09:02:46 | INFO | Starting application...
2025-07-20 09:02:46 | INFO | No old log files to clean up
2025-07-20 09:02:46 | INFO | Log cleanup process completed
2025-07-20 09:03:52 | INFO | Application shutting down...
2025-07-20 09:03:52 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:04:04 | INFO | No old log files to clean up
2025-07-20 09:04:05 | INFO | Engine created successfully
2025-07-20 09:04:06 | INFO | Starting application...
2025-07-20 09:04:09 | INFO | Starting application...
2025-07-20 09:04:09 | INFO | No old log files to clean up
2025-07-20 09:04:09 | INFO | Log cleanup process completed
2025-07-20 09:04:10 | INFO | Application shutting down...
2025-07-20 09:04:10 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:04:12 | INFO | No old log files to clean up
2025-07-20 09:04:12 | INFO | Engine created successfully
2025-07-20 09:04:13 | INFO | Starting application...
2025-07-20 09:04:15 | INFO | Starting application...
2025-07-20 09:04:15 | INFO | No old log files to clean up
2025-07-20 09:04:15 | INFO | Log cleanup process completed
2025-07-20 09:05:41 | INFO | Application shutting down...
2025-07-20 09:05:41 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:05:43 | INFO | No old log files to clean up
2025-07-20 09:05:43 | INFO | Engine created successfully
2025-07-20 09:08:22 | INFO | No old log files to clean up
2025-07-20 09:08:22 | INFO | Engine created successfully
2025-07-20 09:08:22 | INFO | Starting application...
2025-07-20 09:08:24 | INFO | Starting application...
2025-07-20 09:08:24 | INFO | No old log files to clean up
2025-07-20 09:08:24 | INFO | Log cleanup process completed
2025-07-20 09:13:46 | INFO | Application shutting down...
2025-07-20 09:13:46 | ERROR | Shutdown error: object NoneType can't be used in 'await' expression
2025-07-20 09:13:48 | INFO | No old log files to clean up
2025-07-20 09:13:48 | INFO | Engine created successfully
2025-07-20 09:13:48 | INFO | Starting application...
