2025-07-21 07:05:55 | INFO | No old log files to clean up
2025-07-21 07:05:55 | INFO | Engine created successfully
2025-07-21 07:05:57 | INFO | Starting application...
2025-07-21 07:06:07 | INFO | No old log files to clean up
2025-07-21 07:06:08 | INFO | Engine created successfully
2025-07-21 07:06:10 | INFO | Starting application...
2025-07-21 07:06:13 | INFO | Starting application...
2025-07-21 07:06:13 | INFO | No old log files to clean up
2025-07-21 07:06:13 | INFO | Log cleanup process completed
